Directories,First,Second,Third
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bukitmerahbusinterch.txt,"(11, 89.3538158)","(8, 8.2966452)","(13, 1.0585153999999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/frenchinvasionofruss.txt,"(5, 53.280366099999995)","(7, 30.810106599999997)","(10, 7.6858200000000005)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sobeloperator.txt,"(2, 95.0766274)","(12, 2.6604483)","(10, 1.6385470999999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/mikitabukatkin.txt,"(1, 96.9283101)","(5, 1.7345586)","(17, 0.20773800000000003)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/fahdofsaudiarabia.txt,"(5, 67.673008)","(17, 8.755792399999999)","(13, 6.4315645)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bristoltemplemeadsra.txt,"(11, 73.9931942)","(8, 20.219446899999998)","(10, 3.2455804999999995)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/davidenichols.txt,"(15, 42.3562159)","(9, 22.8233452)","(17, 19.6159267)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/kennethdougall.txt,"(1, 95.3921608)","(17, 3.5596382)","(3, 0.45709720000000004)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/talkshow.txt,"(17, 33.2936958)","(14, 30.490777299999998)","(10, 20.8292818)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bananaqueensland.txt,"(8, 81.0325502)","(9, 8.490712)","(17, 4.1154958)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/rs.txt,"(12, 46.0286051)","(13, 24.8778633)","(6, 16.7193313)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/eugenics.txt,"(10, 70.5795148)","(13, 8.7542094)","(15, 8.441584500000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ochspirit.txt,"(19, 54.10185010000001)","(2, 18.2730514)","(16, 12.1185346)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/centrallondon.txt,"(8, 89.98388750000001)","(13, 5.8826466)","(10, 3.4389809000000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/circumcision.txt,"(15, 55.3611602)","(10, 21.7508761)","(19, 8.9944764)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/rollsroycetrent.txt,"(4, 85.0466579)","(13, 6.9592374)","(11, 4.4976576999999995)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/omegle.txt,"(12, 58.5812659)","(10, 19.2736685)","(17, 10.922072400000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/princeofpersia1989vi.txt,"(18, 50.4754779)","(12, 16.1617519)","(16, 15.4095804)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/listofalbumswithtrac.txt,"(14, 53.36666639999999)","(0, 17.5884276)","(16, 6.7746705)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/loner.txt,"(10, 89.3471966)","(17, 6.4336959)","(9, 1.932173)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/thetartan.txt,"(9, 29.224527099999996)","(17, 26.580956)","(10, 20.1344238)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/warwick.txt,"(8, 92.0965815)","(0, 2.3714733000000003)","(10, 2.2003385)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/leeleesobieski.txt,"(18, 58.484998)","(17, 30.058315)","(0, 6.8781001999999996)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/rodimus.txt,"(16, 86.5560222)","(4, 4.9353118)","(0, 3.7073742)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/puffthemagicdragon.txt,"(14, 35.5617071)","(17, 26.4654681)","(18, 10.7079907)"
